#organism	nchr	16Scopynum	nprot	nprot_withfunc	taxonomy
Helicobacter_pylori_Shi112_uid162207	1	2	1564	917	k:Bacteria;p:Proteobacteria;c:Epsilonproteobacteria;o:Campylobacterales;f:Helicobacteraceae;g:Helicobacter;s:pylori
Helicobacter_pylori_India7_uid161149	1	2	1600	913	k:Bacteria;p:Proteobacteria;c:Epsilonproteobacteria;o:Campylobacterales;f:Helicobacteraceae;g:Helicobacter;s:pylori
Stenotrophomonas_maltophilia_D457_uid162199	1	4	4101	1979	k:Bacteria;p:Proteobacteria;c:Gammaproteobacteria;o:Xanthomonadales;f:Xanthomonadaceae;g:Stenotrophomonas;s:maltophilia
Brachyspira_pilosicoli_WesB_uid175256	1	1	2641	1130	k:Bacteria;p:Spirochaetes;c:Spirochaetia;o:Brachyspirales;f:Brachyspiraceae;g:Brachyspira;s:pilosicoli
Hydrogenobaculum_SN_uid46251	1	2	1575	942	k:Bacteria;p:Aquificae;c:Aquificae;o:Aquificales;f:Aquificaceae;g:Hydrogenobaculum;s:undef
Bifidobacterium_breve_UCC2003_uid193702	1	2	1854	965	k:Bacteria;p:Actinobacteria;c:Actinobacteria;o:Bifidobacteriales;f:Bifidobacteriaceae;g:Bifidobacterium;s:breve
Bartonella_grahamii_as4aup_uid59405	1	2	1737	962	k:Bacteria;p:Proteobacteria;c:Alphaproteobacteria;o:Rhizobiales;f:Bartonellaceae;g:Bartonella;s:grahamii
Streptococcus_pneumoniae_JJA_uid59121	1	4	2123	1147	k:Bacteria;p:Firmicutes;c:Bacilli;o:Lactobacillales;f:Streptococcaceae;g:Streptococcus;s:pneumoniae
Sinorhizobium_medicae_WSM419_uid58549	1	3	3529	1856	k:Bacteria;p:Proteobacteria;c:Alphaproteobacteria;o:Rhizobiales;f:Rhizobiaceae;g:Sinorhizobium;s:medicae
Methylobacterium_extorquens_PA1_uid58821	1	5	4829	2046	k:Bacteria;p:Proteobacteria;c:Alphaproteobacteria;o:Rhizobiales;f:Methylobacteriaceae;g:Methylobacterium;s:extorquens
Chlamydia_trachomatis_B_TZ1A828_OT_uid59349	1	2	880	531	k:Bacteria;p:Chlamydiae;c:Chlamydiia;o:Chlamydiales;f:Chlamydiaceae;g:Chlamydia;s:trachomatis
Planctomyces_limnophilus_DSM_3776_uid48643	1	2	4198	1341	k:Bacteria;p:Planctomycetes;c:Planctomycetia;o:Planctomycetales;f:Planctomycetaceae;g:Planctopirus;s:limnophila
Coxiella_burnetii_CbuK_Q154_uid58895	1	1	1898	970	k:Bacteria;p:Proteobacteria;c:Gammaproteobacteria;o:Legionellales;f:Coxiellaceae;g:Coxiella;s:burnetii
Geobacter_lovleyi_SZ_uid58713	1	2	3606	1604	k:Bacteria;p:Proteobacteria;c:Deltaproteobacteria;o:Desulfuromonadales;f:Geobacteraceae;g:Geobacter;s:lovleyi
Mycoplasma_genitalium_M6320_uid173370	1	1	509	332	k:Bacteria;p:Tenericutes;c:Mollicutes;o:Mycoplasmatales;f:Mycoplasmataceae;g:Mycoplasma;s:genitalium
Geobacillus_C56_T3_uid49467	1	8	3315	1839	k:Bacteria;p:Firmicutes;c:Bacilli;o:Bacillales;f:Bacillaceae;g:Geobacillus;s:undef
Dehalococcoides_GT_uid42115	1	1	1417	734	k:Bacteria;p:Chloroflexi;c:Dehalococcoidia;o:Dehalococcoidales;f:Dehalococcoidaceae;g:Dehalococcoides;s:mccartyi
Salmonella_enterica_serovar_Paratyphi_C_RKS4594_uid59063	1	7	4577	2804	k:Bacteria;p:Proteobacteria;c:Gammaproteobacteria;o:Enterobacteriales;f:Enterobacteriaceae;g:Salmonella;s:enterica
Gluconacetobacter_diazotrophicus_PAl_5_uid59075	1	4	3472	1753	k:Bacteria;p:Proteobacteria;c:Alphaproteobacteria;o:Rhodospirillales;f:Acetobacteraceae;g:Gluconacetobacter;s:diazotrophicus
Desulfotalea_psychrophila_LSv54_uid58153	1	7	3116	1480	k:Bacteria;p:Proteobacteria;c:Deltaproteobacteria;o:Desulfobacterales;f:Desulfobulbaceae;g:Desulfotalea;s:psychrophila
Mycobacterium_vanbaalenii_PYR_1_uid58463	1	2	5979	2036	k:Bacteria;p:Actinobacteria;c:Actinobacteria;o:Corynebacteriales;f:Mycobacteriaceae;g:Mycobacterium;s:vanbaalenii
Rhodobacter_sphaeroides_2_4_1_uid57653	2	3	3856	2185	k:Bacteria;p:Proteobacteria;c:Alphaproteobacteria;o:Rhodobacterales;f:Rhodobacteraceae;g:Rhodobacter;s:sphaeroides
Rickettsia_conorii_Malish_7_uid57633	1	1	1374	666	k:Bacteria;p:Proteobacteria;c:Alphaproteobacteria;o:Rickettsiales;f:Rickettsiaceae;g:Rickettsia;s:conorii
Rhodopseudomonas_palustris_BisA53_uid58445	1	2	4878	2437	k:Bacteria;p:Proteobacteria;c:Alphaproteobacteria;o:Rhizobiales;f:Bradyrhizobiaceae;g:Rhodopseudomonas;s:palustris
Caulobacter_crescentus_NA1000_uid59307	1	2	3877	1789	k:Bacteria;p:Proteobacteria;c:Alphaproteobacteria;o:Caulobacterales;f:Caulobacteraceae;g:Caulobacter;s:vibrioides
Staphylococcus_aureus_HO_5096_0412_uid162163	1	4	2547	1370	k:Bacteria;p:Firmicutes;c:Bacilli;o:Bacillales;f:Staphylococcaceae;g:Staphylococcus;s:aureus
Micrococcus_luteus_NCTC_2665_uid59033	1	3	2236	1125	k:Bacteria;p:Actinobacteria;c:Actinobacteria;o:Micrococcales;f:Micrococcaceae;g:Micrococcus;s:luteus
Coxiella_burnetii_Dugway_5J108_111_uid58629	1	1	1993	995	k:Bacteria;p:Proteobacteria;c:Gammaproteobacteria;o:Legionellales;f:Coxiellaceae;g:Coxiella;s:burnetii
Klebsiella_oxytoca_KCTC_1686_uid83159	1	8	5488	3477	k:Bacteria;p:Proteobacteria;c:Gammaproteobacteria;o:Enterobacteriales;f:Enterobacteriaceae;g:Klebsiella;s:oxytoca
Desulfovibrio_hydrothermalis_AM13___DSM_14728_uid184831	1	5	3542	1523	k:Bacteria;p:Proteobacteria;c:Deltaproteobacteria;o:Desulfovibrionales;f:Desulfovibrionaceae;g:Desulfovibrio;s:hydrothermalis
Methylobacterium_radiotolerans_JCM_2831_uid58845	1	4	5686	2337	k:Bacteria;p:Proteobacteria;c:Alphaproteobacteria;o:Rhizobiales;f:Methylobacteriaceae;g:Methylobacterium;s:radiotolerans
Yersinia_pseudotuberculosis_YPIII_uid59151	1	7	4192	2577	k:Bacteria;p:Proteobacteria;c:Gammaproteobacteria;o:Enterobacteriales;f:Enterobacteriaceae;g:Yersinia;s:pseudotuberculosis
Hirschia_baltica_ATCC_49814_uid59365	1	2	3119	1535	k:Bacteria;p:Proteobacteria;c:Alphaproteobacteria;o:Rhodobacterales;f:Hyphomonadaceae;g:Hirschia;s:baltica
Escherichia_coli_K_12_substr__MDS42_uid193705	1	7	3543	2581	k:Bacteria;p:Proteobacteria;c:Gammaproteobacteria;o:Enterobacteriales;f:Enterobacteriaceae;g:Escherichia;s:coli
Thermodesulfovibrio_yellowstonii_DSM_11347_uid59257	1	1	2028	1160	k:Bacteria;p:Nitrospirae;c:Nitrospira;o:Nitrospirales;f:Nitrospiraceae;g:Thermodesulfovibrio;s:yellowstonii
Salmonella_enterica_serovar_Typhimurium_LT2_uid57799	1	7	4456	2821	k:Bacteria;p:Proteobacteria;c:Gammaproteobacteria;o:Enterobacteriales;f:Enterobacteriaceae;g:Salmonella;s:enterica
Rickettsia_prowazekii_BuV67_CWPP_uid158063	1	1	843	602	k:Bacteria;p:Proteobacteria;c:Alphaproteobacteria;o:Rickettsiales;f:Rickettsiaceae;g:Rickettsia;s:prowazekii
Vulcanisaeta_moutnovskia_768_28_uid63631	1	1	2320	908	k:Archaea;p:Crenarchaeota;c:Thermoprotei;o:Thermoproteales;f:Thermoproteaceae;g:Vulcanisaeta;s:moutnovskia
Streptococcus_pneumoniae_CGSP14_uid59181	1	4	2206	1153	k:Bacteria;p:Firmicutes;c:Bacilli;o:Lactobacillales;f:Streptococcaceae;g:Streptococcus;s:pneumoniae
Psychrobacter_cryohalolentis_K5_uid58373	1	4	2467	785	k:Bacteria;p:Proteobacteria;c:Gammaproteobacteria;o:Pseudomonadales;f:Moraxellaceae;g:Psychrobacter;s:cryohalolentis
Salmonella_enterica_serovar_Typhimurium_UK_1_uid87049	1	7	4451	2868	k:Bacteria;p:Proteobacteria;c:Gammaproteobacteria;o:Enterobacteriales;f:Enterobacteriaceae;g:Salmonella;s:enterica
Klebsiella_variicola_At_22_uid42113	1	8	5057	3272	k:Bacteria;p:Proteobacteria;c:Gammaproteobacteria;o:Enterobacteriales;f:Enterobacteriaceae;g:Klebsiella;s:variicola
Mesorhizobium_ciceri_biovar_biserrulae_WSM1271_uid62101	1	2	5870	2699	k:Bacteria;p:Proteobacteria;c:Alphaproteobacteria;o:Rhizobiales;f:Phyllobacteriaceae;g:Mesorhizobium;s:ciceri
Streptococcus_pneumoniae_INV200_uid162035	1	4	1929	1094	k:Bacteria;p:Firmicutes;c:Bacilli;o:Lactobacillales;f:Streptococcaceae;g:Streptococcus;s:pneumoniae
Laribacter_hongkongensis_HLHK9_uid59265	1	7	3235	1666	k:Bacteria;p:Proteobacteria;c:Betaproteobacteria;o:Neisseriales;f:Chromobacteriaceae;g:Laribacter;s:hongkongensis
Hydrogenobaculum_Y04AAS1_uid58857	1	2	1629	976	k:Bacteria;p:Aquificae;c:Aquificae;o:Aquificales;f:Aquificaceae;g:Hydrogenobaculum;s:undef
Salmonella_enterica_serovar_Javiana_CFSAN001992_uid190101	1	7	4349	2808	k:Bacteria;p:Proteobacteria;c:Gammaproteobacteria;o:Enterobacteriales;f:Enterobacteriaceae;g:Salmonella;s:enterica
Acetohalobium_arabaticum_DSM_5501_uid51423	1	5	2282	1291	k:Bacteria;p:Firmicutes;c:Clostridia;o:Halanaerobiales;f:Halobacteroidaceae;g:Acetohalobium;s:arabaticum
Chlamydia_trachomatis_D_UW_3_CX_uid57637	1	2	896	548	k:Bacteria;p:Chlamydiae;c:Chlamydiia;o:Chlamydiales;f:Chlamydiaceae;g:Chlamydia;s:trachomatis
Staphylothermus_hellenicus_DSM_12710_uid45893	1	1	1599	767	k:Archaea;p:Crenarchaeota;c:Thermoprotei;o:Desulfurococcales;f:Desulfurococcaceae;g:Staphylothermus;s:hellenicus
Streptococcus_pyogenes_Manfredo_uid57847	1	6	1745	1056	k:Bacteria;p:Firmicutes;c:Bacilli;o:Lactobacillales;f:Streptococcaceae;g:Streptococcus;s:pyogenes
Nautilia_profundicola_AmH_uid59345	1	4	1730	1017	k:Bacteria;p:Proteobacteria;c:Epsilonproteobacteria;o:Nautiliales;f:Nautiliaceae;g:Nautilia;s:profundicola
Chamaesiphon_PCC_6605_uid183005	1	3	5498	1595	k:Bacteria;p:Cyanobacteria;c:undef;o:Chroococcales;f:undef;g:Chamaesiphon;s:minutus
Candidatus_Phytoplasma_mali_uid59087	1	2	479	298	k:Bacteria;p:Tenericutes;c:Mollicutes;o:Acholeplasmatales;f:Acholeplasmataceae;g:Phytoplasma;s:mali
Hyperthermus_butylicus_DSM_5456_uid57755	1	1	1603	760	k:Archaea;p:Crenarchaeota;c:Thermoprotei;o:Desulfurococcales;f:Pyrodictiaceae;g:Hyperthermus;s:butylicus
Gordonibacter_pamelaeae_7_10_1_b_uid197167	1	1	2021	691	k:Bacteria;p:Actinobacteria;c:Coriobacteriia;o:Eggerthellales;f:Eggerthellaceae;g:Gordonibacter;s:pamelaeae
Rhizobium_NGR234_uid59081	1	3	3629	1861	k:Bacteria;p:Proteobacteria;c:Alphaproteobacteria;o:Rhizobiales;f:Rhizobiaceae;g:Sinorhizobium;s:fredii
Treponema_pallidum_Chicago_uid159543	1	2	980	526	k:Bacteria;p:Spirochaetes;c:Spirochaetia;o:Spirochaetales;f:Spirochaetaceae;g:Treponema;s:pallidum
Deinococcus_peraridilitoris_DSM_19664_uid183485	1	3	3636	1440	k:Bacteria;p:Deinococcus-Thermus;c:Deinococci;o:Deinococcales;f:Deinococcaceae;g:Deinococcus;s:peraridilitoris
Bifidobacterium_breve_ACS_071_V_Sch8b_uid158863	1	3	1826	973	k:Bacteria;p:Actinobacteria;c:Actinobacteria;o:Bifidobacteriales;f:Bifidobacteriaceae;g:Bifidobacterium;s:breve
Micromonospora_L5_uid45895	1	3	6150	2117	k:Bacteria;p:Actinobacteria;c:Actinobacteria;o:Micromonosporales;f:Micromonosporaceae;g:Micromonospora;s:undef
Kocuria_rhizophila_DC2201_uid59099	1	3	2357	1244	k:Bacteria;p:Actinobacteria;c:Actinobacteria;o:Micrococcales;f:Micrococcaceae;g:Kocuria;s:rhizophila
Buchnera_aphidicola_Ak__Acyrthosiphon_kondoi__uid158533	1	1	559	538	k:Bacteria;p:Proteobacteria;c:Gammaproteobacteria;o:Enterobacteriales;f:Enterobacteriaceae;g:Buchnera;s:aphidicola
Thermoanaerobacter_pseudethanolicus_ATCC_33223_uid58339	1	6	2239	1276	k:Bacteria;p:Firmicutes;c:Clostridia;o:Thermoanaerobacterales;f:Thermoanaerobacteraceae;g:Thermoanaerobacter;s:pseudethanolicus
Acidothermus_cellulolyticus_11B_uid58501	1	1	2157	1163	k:Bacteria;p:Actinobacteria;c:Actinobacteria;o:Acidothermales;f:Acidothermaceae;g:Acidothermus;s:cellulolyticus
Mycobacterium_gilvum_PYR_GCK_uid59421	1	2	5241	1887	k:Bacteria;p:Actinobacteria;c:Actinobacteria;o:Corynebacteriales;f:Mycobacteriaceae;g:Mycobacterium;s:gilvum
Listeria_monocytogenes_EGD_e_uid61583	1	6	2867	1605	k:Bacteria;p:Firmicutes;c:Bacilli;o:Bacillales;f:Listeriaceae;g:Listeria;s:monocytogenes
Klebsiella_pneumoniae_HS11286_uid84387	1	8	5316	3183	k:Bacteria;p:Proteobacteria;c:Gammaproteobacteria;o:Enterobacteriales;f:Enterobacteriaceae;g:Klebsiella;s:pneumoniae
Pyrococcus_NA2_uid66551	1	1	1979	982	k:Archaea;p:Euryarchaeota;c:Thermococci;o:Thermococcales;f:Thermococcaceae;g:Pyrococcus;s:undef
Nocardia_brasiliensis_ATCC_700358_uid86913	1	3	8414	2337	k:Bacteria;p:Actinobacteria;c:Actinobacteria;o:Corynebacteriales;f:Nocardiaceae;g:Nocardia;s:brasiliensis
Caldicellulosiruptor_hydrothermalis_108_uid60157	1	3	2546	1305	k:Bacteria;p:Firmicutes;c:Clostridia;o:Thermoanaerobacterales;f:Thermoanaerobacterales;g:Caldicellulosiruptor;s:hydrothermalis
Calditerrivibrio_nitroreducens_DSM_19672_uid60821	1	2	2045	1236	k:Bacteria;p:Deferribacteres;c:Deferribacteres;o:Deferribacterales;f:Deferribacteraceae;g:Calditerrivibrio;s:nitroreducens
Paenibacillus_Y412MC10_uid41127	1	8	6238	2616	k:Bacteria;p:Firmicutes;c:Bacilli;o:Bacillales;f:Paenibacillaceae;g:Paenibacillus;s:undef
Bacillus_selenitireducens_MLS10_uid49513	1	7	3255	1684	k:Bacteria;p:Firmicutes;c:Bacilli;o:Bacillales;f:Sporolactobacillaceae;g:Bacillus;s:selenitireducens
Cronobacter_sakazakii_ES15_uid167045	1	7	3916	2485	k:Bacteria;p:Proteobacteria;c:Gammaproteobacteria;o:Enterobacteriales;f:Enterobacteriaceae;g:Cronobacter;s:sakazakii
Acinetobacter_baumannii_TYTH_1_uid176498	1	5	3678	1752	k:Bacteria;p:Proteobacteria;c:Gammaproteobacteria;o:Pseudomonadales;f:Moraxellaceae;g:Acinetobacter;s:baumannii
Bifidobacterium_animalis_lactis_BLC1_uid158867	1	4	1518	854	k:Bacteria;p:Actinobacteria;c:Actinobacteria;o:Bifidobacteriales;f:Bifidobacteriaceae;g:Bifidobacterium;s:animalis
Streptococcus_pyogenes_MGAS1882_uid158061	1	5	1691	995	k:Bacteria;p:Firmicutes;c:Bacilli;o:Lactobacillales;f:Streptococcaceae;g:Streptococcus;s:pyogenes
Deinococcus_maricopensis_DSM_21211_uid62225	1	4	3264	1401	k:Bacteria;p:Deinococcus-Thermus;c:Deinococci;o:Deinococcales;f:Deinococcaceae;g:Deinococcus;s:maricopensis
Vibrio_cholerae_O1_2010EL_1786_uid78933	2	7	3845	2233	k:Bacteria;p:Proteobacteria;c:Gammaproteobacteria;o:Vibrionales;f:Vibrionaceae;g:Vibrio;s:cholerae
Enterococcus_faecalis_OG1RF_uid54927	1	4	2579	1376	k:Bacteria;p:Firmicutes;c:Bacilli;o:Lactobacillales;f:Enterococcaceae;g:Enterococcus;s:faecalis
Chromohalobacter_salexigens_DSM_3043_uid62921	1	5	3298	990	k:Bacteria;p:Proteobacteria;c:Gammaproteobacteria;o:Oceanospirillales;f:Halomonadaceae;g:Chromohalobacter;s:salexigens
Sphingobium_japonicum_UT26S_uid47077	2	3	4118	1815	k:Bacteria;p:Proteobacteria;c:Alphaproteobacteria;o:Sphingomonadales;f:Sphingomonadaceae;g:Sphingobium;s:japonicum
Acetobacter_pasteurianus_IFO_3283_07_uid158381	1	5	2626	1317	k:Bacteria;p:Proteobacteria;c:Alphaproteobacteria;o:Rhodospirillales;f:Acetobacteraceae;g:Acetobacter;s:pasteurianus
Candidatus_Arthromitus_SFB_rat_Yit_uid73425	1	5	1343	802	k:Bacteria;p:Firmicutes;c:Clostridia;o:Clostridiales;f:Clostridiaceae;g:Arthromitus;s:undef
Chlamydophila_abortus_S26_3_uid57963	1	1	932	567	k:Bacteria;p:Chlamydiae;c:Chlamydiia;o:Chlamydiales;f:Chlamydiaceae;g:Chlamydophila;s:abortus
Bacillus_subtilis_BSn5_uid62463	1	9	4145	2144	k:Bacteria;p:Firmicutes;c:Bacilli;o:Bacillales;f:Bacillaceae;g:Bacillus;s:subtilis
Streptococcus_intermedius_JTH08_uid168614	1	4	1702	986	k:Bacteria;p:Firmicutes;c:Bacilli;o:Lactobacillales;f:Streptococcaceae;g:Streptococcus;s:intermedius
Nakamurella_multipartita_DSM_44233_uid59221	1	2	5240	1847	k:Bacteria;p:Actinobacteria;c:Actinobacteria;o:Nakamurellales;f:Nakamurellaceae;g:Nakamurella;s:multipartita
Bacillus_cereus_biovar_anthracis_CI_uid50615	1	11	5221	2313	k:Bacteria;p:Firmicutes;c:Bacilli;o:Bacillales;f:Bacillaceae;g:Bacillus;s:cereus
Odoribacter_splanchnicus_DSM_20712_uid63397	1	4	3497	1257	k:Bacteria;p:Bacteroidetes;c:Bacteroidia;o:Bacteroidales;f:Porphyromonadaceae;g:Odoribacter;s:splanchnicus
Campylobacter_jejuni_81116_uid58771	1	3	1626	1075	k:Bacteria;p:Proteobacteria;c:Epsilonproteobacteria;o:Campylobacterales;f:Campylobacteraceae;g:Campylobacter;s:jejuni
Pseudomonas_syringae_phaseolicola_1448A_uid58099	1	5	4985	2667	k:Bacteria;p:Proteobacteria;c:Gammaproteobacteria;o:Pseudomonadales;f:Pseudomonadaceae;g:Pseudomonas;s:savastanoi
Jonesia_denitrificans_DSM_20603_uid59053	1	5	2511	1254	k:Bacteria;p:Actinobacteria;c:Actinobacteria;o:Micrococcales;f:Jonesiaceae;g:Jonesia;s:denitrificans
Bacillus_thuringiensis_BMB171_uid49135	1	14	5081	2290	k:Bacteria;p:Firmicutes;c:Bacilli;o:Bacillales;f:Bacillaceae;g:Bacillus;s:thuringiensis
Lactobacillus_plantarum_WCFS1_uid62911	1	5	3057	1521	k:Bacteria;p:Firmicutes;c:Bacilli;o:Lactobacillales;f:Lactobacillaceae;g:Lactobacillus;s:plantarum
Clostridium_acidurici_9a_uid176126	1	6	2839	1339	k:Bacteria;p:Firmicutes;c:Clostridia;o:Clostridiales;f:undef;g:Gottschalkia;s:acidurici
Bacillus_anthracis_Sterne_uid58091	1	11	5091	2308	k:Bacteria;p:Firmicutes;c:Bacilli;o:Bacillales;f:Bacillaceae;g:Bacillus;s:anthracis
Salmonella_enterica_serovar_Agona_SL483_uid59431	1	7	4580	2786	k:Bacteria;p:Proteobacteria;c:Gammaproteobacteria;o:Enterobacteriales;f:Enterobacteriaceae;g:Salmonella;s:enterica
Streptococcus_suis_05ZYH33_uid58663	1	4	2186	1087	k:Bacteria;p:Firmicutes;c:Bacilli;o:Lactobacillales;f:Streptococcaceae;g:Streptococcus;s:suis
Methanosarcina_mazei_Tuc01_uid190185	1	3	3252	1158	k:Archaea;p:Euryarchaeota;c:Methanomicrobia;o:Methanosarcinales;f:Methanosarcinaceae;g:Methanosarcina;s:mazei
Jannaschia_CCS1_uid58147	1	1	4212	1806	k:Bacteria;p:Proteobacteria;c:Alphaproteobacteria;o:Rhodobacterales;f:Rhodobacteraceae;g:Jannaschia;s:undef
Enterococcus_faecium_NRRL_B_2354_uid188477	1	6	2435	1204	k:Bacteria;p:Firmicutes;c:Bacilli;o:Lactobacillales;f:Enterococcaceae;g:Enterococcus;s:faecium
Spirochaeta_smaragdinae_DSM_11293_uid51369	1	2	4219	1928	k:Bacteria;p:Spirochaetes;c:Spirochaetia;o:Spirochaetales;f:Spirochaetaceae;g:Spirochaeta;s:smaragdinae
Variovorax_paradoxus_EPS_uid62107	1	2	5952	2817	k:Bacteria;p:Proteobacteria;c:Betaproteobacteria;o:Burkholderiales;f:Comamonadaceae;g:Variovorax;s:paradoxus
Rahnella_Y9602_uid62715	1	7	4392	2796	k:Bacteria;p:Proteobacteria;c:Gammaproteobacteria;o:Enterobacteriales;f:Enterobacteriaceae;g:Rahnella;s:undef
Shewanella_frigidimarina_NCIMB_400_uid58265	1	9	4029	2122	k:Bacteria;p:Proteobacteria;c:Gammaproteobacteria;o:Alteromonadales;f:Shewanellaceae;g:Shewanella;s:frigidimarina
Bifidobacterium_bifidum_BGN4_uid167988	1	3	1834	857	k:Bacteria;p:Actinobacteria;c:Actinobacteria;o:Bifidobacteriales;f:Bifidobacteriaceae;g:Bifidobacterium;s:bifidum
Candidatus_Pelagibacter_ubique_HTCC1062_uid58401	1	1	1354	900	k:Bacteria;p:Proteobacteria;c:Alphaproteobacteria;o:Pelagibacterales;f:Pelagibacteraceae;g:Pelagibacter;s:ubique
Sphingomonas_MM_1_uid193771	1	2	3801	1669	k:Bacteria;p:Proteobacteria;c:Alphaproteobacteria;o:Sphingomonadales;f:Sphingomonadaceae;g:Sphingomonas;s:undef
Neisseria_meningitidis_FAM18_uid57825	1	4	1917	1200	k:Bacteria;p:Proteobacteria;c:Betaproteobacteria;o:Neisseriales;f:Neisseriaceae;g:Neisseria;s:meningitidis
Hydrogenobaculum_HO_uid190882	1	2	1579	945	k:Bacteria;p:Aquificae;c:Aquificae;o:Aquificales;f:Aquificaceae;g:Hydrogenobaculum;s:undef
Desulfobulbus_propionicus_DSM_2032_uid62265	1	2	3283	1656	k:Bacteria;p:Proteobacteria;c:Deltaproteobacteria;o:Desulfobacterales;f:Desulfobulbaceae;g:Desulfobulbus;s:propionicus
Deinococcus_deserti_VCD115_uid58615	1	3	2597	1255	k:Bacteria;p:Deinococcus-Thermus;c:Deinococci;o:Deinococcales;f:Deinococcaceae;g:Deinococcus;s:deserti
Sinorhizobium_meliloti_Rm41_uid176372	1	3	3499	1703	k:Bacteria;p:Proteobacteria;c:Alphaproteobacteria;o:Rhizobiales;f:Rhizobiaceae;g:Sinorhizobium;s:meliloti
Alicycliphilus_denitrificans_K601_uid66307	1	3	4607	2303	k:Bacteria;p:Proteobacteria;c:Betaproteobacteria;o:Burkholderiales;f:Comamonadaceae;g:Alicycliphilus;s:denitrificans
Staphylococcus_aureus_ED98_uid41455	1	5	2661	1414	k:Bacteria;p:Firmicutes;c:Bacilli;o:Bacillales;f:Staphylococcaceae;g:Staphylococcus;s:aureus
Salmonella_enterica_serovar_Heidelberg_SL476_uid58973	1	7	4666	2815	k:Bacteria;p:Proteobacteria;c:Gammaproteobacteria;o:Enterobacteriales;f:Enterobacteriaceae;g:Salmonella;s:enterica
Acidimicrobium_ferrooxidans_DSM_10331_uid59215	1	2	1964	1028	k:Bacteria;p:Actinobacteria;c:Acidimicrobiia;o:Acidimicrobiales;f:Acidimicrobiaceae;g:Acidimicrobium;s:ferrooxidans
Stenotrophomonas_maltophilia_K279a_uid61647	1	4	4386	2066	k:Bacteria;p:Proteobacteria;c:Gammaproteobacteria;o:Xanthomonadales;f:Xanthomonadaceae;g:Stenotrophomonas;s:maltophilia
Methanobacterium_AL_21_uid63623	1	2	2493	1103	k:Archaea;p:Euryarchaeota;c:Methanobacteria;o:Methanobacteriales;f:Methanobacteriaceae;g:Methanobacterium;s:lacus
Corynebacterium_diphtheriae_241_uid83607	1	5	2245	1108	k:Bacteria;p:Actinobacteria;c:Actinobacteria;o:Corynebacteriales;f:Corynebacteriaceae;g:Corynebacterium;s:diphtheriae
Helicobacter_pylori_26695_uid178201	1	2	1594	971	k:Bacteria;p:Proteobacteria;c:Epsilonproteobacteria;o:Campylobacterales;f:Helicobacteraceae;g:Helicobacter;s:pylori
Vibrio_cholerae_LMA3984_4_uid159541	2	8	3153	2024	k:Bacteria;p:Proteobacteria;c:Gammaproteobacteria;o:Vibrionales;f:Vibrionaceae;g:Vibrio;s:cholerae
Ureaplasma_urealyticum_serovar_10_ATCC_33699_uid59011	1	2	646	363	k:Bacteria;p:Tenericutes;c:Mollicutes;o:Mycoplasmatales;f:Mycoplasmataceae;g:Ureaplasma;s:urealyticum
Pectobacterium_wasabiae_WPP163_uid41297	1	7	4437	2674	k:Bacteria;p:Proteobacteria;c:Gammaproteobacteria;o:Enterobacteriales;f:Enterobacteriaceae;g:Pectobacterium;s:wasabiae
Francisella_TX077308_uid68321	1	3	1976	1079	k:Bacteria;p:Proteobacteria;c:Gammaproteobacteria;o:Thiotrichales;f:Francisellaceae;g:Francisella;s:undef
Salmonella_enterica_serovar_Typhimurium_U288_uid198746	1	7	4569	2868	k:Bacteria;p:Proteobacteria;c:Gammaproteobacteria;o:Enterobacteriales;f:Enterobacteriaceae;g:Salmonella;s:enterica
Leuconostoc_kimchii_IMSNU_11154_uid48589	1	4	2026	1112	k:Bacteria;p:Firmicutes;c:Bacilli;o:Lactobacillales;f:Leuconostocaceae;g:Leuconostoc;s:kimchii
Ralstonia_eutropha_H16_uid62925	2	5	6206	3301	k:Bacteria;p:Proteobacteria;c:Betaproteobacteria;o:Burkholderiales;f:Burkholderiaceae;g:Cupriavidus;s:necator
Arthrospira_platensis_NIES_39_uid197171	1	2	6630	1485	k:Bacteria;p:Cyanobacteria;c:undef;o:Oscillatoriales;f:undef;g:Arthrospira;s:platensis
Bacillus_subtilis_6051_HGW_uid193706	1	10	4187	2103	k:Bacteria;p:Firmicutes;c:Bacilli;o:Bacillales;f:Bacillaceae;g:Bacillus;s:subtilis
Desulfovibrio_piezophilus_C1TLV30_uid190704	1	3	3353	1506	k:Bacteria;p:Proteobacteria;c:Deltaproteobacteria;o:Desulfovibrionales;f:Desulfovibrionaceae;g:Desulfovibrio;s:piezophilus
Geobacillus_Y412MC61_uid41171	1	8	3407	1849	k:Bacteria;p:Firmicutes;c:Bacilli;o:Bacillales;f:Bacillaceae;g:Geobacillus;s:undef
Rivularia_PCC_7116_uid182929	1	3	6609	1868	k:Bacteria;p:Cyanobacteria;c:undef;o:Nostocales;f:Rivulariaceae;g:Rivularia;s:undef
Glaciecola_4H_3_7_YE_5_uid66595	1	5	4233	2102	k:Bacteria;p:Proteobacteria;c:Gammaproteobacteria;o:Alteromonadales;f:Alteromonadaceae;g:Glaciecola;s:undef
Candidatus_Kinetoplastibacterium_blastocrithidii__ex_Strigomonas_culicis__uid183629	1	3	715	626	k:Bacteria;p:Proteobacteria;c:Betaproteobacteria;o:undef;f:undef;g:Kinetoplastibacterium;s:blastocrithidii
